league_name,playoff_round,manager,team_name,position,player_id,player_name,team_id,nhl_team_name,is_active,points_earned,activated_from_ir
The Gemmell Cup,1,bentunigold,BLT Sandwich - Chomp Chomp,F,8482740,Wyatt Johnston,null,null,true,6,false
The Gemmell Cup,1,bentunigold,BLT Sandwich - Chomp Chomp,F,8485406,Porter Martone,null,null,true,3,false
The Gemmell Cup,1,bentunigold,BLT Sandwich - Chomp Chomp,G,null,null,12,Carolina Hurricanes,true,10,false
The Gemmell Cup,1,gemmell.levi,12 Bar Hughes,D,8474578,Erik Karlsson,null,null,true,3,false
The Gemmell Cup,1,gemmell.levi,12 Bar Hughes,D,8480800,Quinn Hughes,null,null,true,8,false
The Gemmell Cup,1,gemmell.levi,12 Bar Hughes,D,8480839,Rasmus Dahlin,null,null,true,4,false
The Gemmell Cup,1,gemmell.levi,12 Bar Hughes,F,8471675,Sidney Crosby,null,null,true,5,false
The Gemmell Cup,1,gemmell.levi,12 Bar Hughes,F,8476453,Nikita Kucherov,null,null,true,6,false
The Gemmell Cup,1,gemmell.levi,12 Bar Hughes,F,8478403,Jack Eichel,null,null,true,9,false
The Gemmell Cup,1,gemmell.levi,12 Bar Hughes,F,8478420,Mikko Rantanen,null,null,true,7,false
The Gemmell Cup,1,gemmell.levi,12 Bar Hughes,F,8480018,Nick Suzuki,null,null,true,6,false
The Gemmell Cup,1,gemmell.levi,12 Bar Hughes,G,null,null,7,Buffalo Sabres,true,8,false
The Gemmell Cup,1,judah18,Connor McJudah ,D,8470613,Brent Burns,null,null,true,0,false
The Gemmell Cup,1,judah18,Connor McJudah ,D,8482122,Brock Faber,null,null,true,6,false
The Gemmell Cup,1,judah18,Connor McJudah ,D,8483457,Lane Hutson,null,null,true,6,false
The Gemmell Cup,1,judah18,Connor McJudah ,F,8477404,Jake Guentzel,null,null,true,8,false
The Gemmell Cup,1,judah18,Connor McJudah ,F,8477492,Nathan MacKinnon,null,null,true,4,false
The Gemmell Cup,1,judah18,Connor McJudah ,F,8477934,Leon Draisaitl,null,null,true,10,false
The Gemmell Cup,1,judah18,Connor McJudah ,F,8477960,Adrian Kempe,null,null,true,2,false
The Gemmell Cup,1,judah18,Connor McJudah ,F,8481557,Matt Boldy,null,null,true,9,false
The Gemmell Cup,1,judah18,Connor McJudah ,G,null,null,21,Colorado Avalanche,true,8,false
The Gemmell Cup,1,nuttguy,56 Years and Counting,D,8476906,Shayne Gostisbehere,null,null,true,0,false
The Gemmell Cup,1,nuttguy,56 Years and Counting,D,8479325,Charlie McAvoy,null,null,true,2,false
The Gemmell Cup,1,nuttguy,56 Years and Counting,D,8480036,Miro Heiskanen,null,null,true,6,false
The Gemmell Cup,1,nuttguy,56 Years and Counting,F,8477956,David Pastrnak,null,null,true,7,false
The Gemmell Cup,1,nuttguy,56 Years and Counting,F,8478402,Connor McDavid,null,null,true,6,false
The Gemmell Cup,1,nuttguy,56 Years and Counting,F,8478427,Sebastian Aho,null,null,true,3,false
The Gemmell Cup,1,nuttguy,56 Years and Counting,F,8478483,Mitch Marner,null,null,true,7,false
The Gemmell Cup,1,nuttguy,56 Years and Counting,F,8480039,Martin Necas,null,null,true,2,false
The Gemmell Cup,1,nuttguy,56 Years and Counting,G,null,null,22,Edmonton Oilers,true,4,false
The Gemmell Cup,2,bentunigold,BLT Sandwich - Chomp Chomp,D,8477447,Shea Theodore,null,null,true,5,false
The Gemmell Cup,2,bentunigold,BLT Sandwich - Chomp Chomp,D,8478038,Devon Toews,null,null,true,5,false
The Gemmell Cup,2,bentunigold,BLT Sandwich - Chomp Chomp,D,8482122,Brock Faber,null,null,true,4,false
The Gemmell Cup,2,bentunigold,BLT Sandwich - Chomp Chomp,F,8477949,Alex Tuch,null,null,true,0,false
The Gemmell Cup,2,bentunigold,BLT Sandwich - Chomp Chomp,F,8478403,Jack Eichel,null,null,true,6,false
The Gemmell Cup,2,bentunigold,BLT Sandwich - Chomp Chomp,F,8478873,Troy Terry,null,null,true,3,false
The Gemmell Cup,2,bentunigold,BLT Sandwich - Chomp Chomp,F,8482702,Logan Stankoven,null,null,true,3,false
The Gemmell Cup,2,bentunigold,BLT Sandwich - Chomp Chomp,F,8484153,Leo Carlsson,null,null,true,3,false
